RecordType,Name,Record,Date,Event,EventID
Fastest Finish,Jorge Masvidal,0:05,7/6/2019,UFC 239: Jones vs. Santos,6c9383ffab2725a5
Fastest KO/TKO,Jorge Masvidal,0:05,7/6/2019,UFC 239: Jones vs. Santos,6c9383ffab2725a5
Fastest Submission,Ronda Rousey,0:14,2/28/2015,UFC 184: Rousey vs Zingano,ad4e9055bf8cd04d
Latest Finish,Ricky Simon,0:00 R3,4/21/2018,UFC Fight Night: Barboza vs. Lee,ad99fa5325519169
Latest KO/TKO,Leon Edwards,0:01 R3,3/17/2018,UFC Fight Night: Werdum vs. Volkov,eed2b71d77d95416
Latest Submission,Ricky Simon,0:00 R3,4/21/2018,UFC Fight Night: Barboza vs. Lee,ad99fa5325519169
Knockdowns Landed,Forrest Petz,5,8/17/2006,UFC Fight Night 6,46c8ec317aff28ac
Striking Differential,Max Holloway,312,1/16/2021,UFC Fight Night: Holloway vs. Kattar,307064d3e0f036c2
Largest Comeback Finish,Derrick Lewis,-82,10/6/2018,UFC 229: Khabib vs. McGregor,1ef0eae31904e534
Sig Strikes Landed,Max Holloway,445,1/16/2021,UFC Fight Night: Holloway vs. Kattar,307064d3e0f036c2
Sig Strikes Attempted,Max Holloway,744,1/16/2021,UFC Fight Night: Holloway vs. Kattar,307064d3e0f036c2
Sig Strike Accuracy,Anthony Hamilton,93.80%,8/30/2014,UFC 177: Dillashaw vs Soto,269d103c96a4c3a5
Distance Strikes Landed,Max Holloway,439,1/16/2021,UFC Fight Night: Holloway vs. Kattar,307064d3e0f036c2
Sig Clinch Strikes Landed,Josh Barnett,95,9/26/2015,UFC Fight Night: Barnett vs Nelson,a4dd5c9a75763295
Sig Ground Strikes Landed,Neil Magny,100,3/19/2016,UFC Fight Night: Hunt vs Mir,e60201cfab7d656d
Sig Head Strikes Landed,Max Holloway,274,1/16/2021,UFC Fight Night: Holloway vs. Kattar,307064d3e0f036c2
Sig Body Strikes Landed,Max Holloway,117,1/16/2021,UFC Fight Night: Holloway vs. Kattar,307064d3e0f036c2
Leg Kicks Landed,Joanna Jedrzejczyk,76,10/12/2019,UFC Fight Night: Joanna vs. Waterson,0941df56f6ac954b
Total Strikes Landed,Max Holloway,447,1/16/2021,UFC Fight Night: Holloway vs. Kattar,307064d3e0f036c2
Total Strikes Attempted,Max Holloway,746,1/16/2021,UFC Fight Night: Holloway vs. Kattar,307064d3e0f036c2
Total Clinch Strikes Landed,Aaron Rosa,233,11/12/2011,UFC on FOX: Velasquez vs Dos Santos,eae4aec1a5a8ff01
Total Ground Strikes Landed,Chael Sonnen,303,8/7/2010,UFC 117: Silva vs Sonnen,2f3f12002564bb55
Total Head Strikes Landed,Stipe Miocic,330,5/9/2015,UFC Fight Night: Miocic vs Hunt,8a1b4330c7957961
Total Body Strikes Landed,Kamaru Usman,192,3/2/2019,UFC 235: Jones vs. Smith,2d5fbe2103f97053
Total Leg Strikes Landed,Jon Jones,111,3/2/2019,UFC 235: Jones vs. Smith,2d5fbe2103f97053
Takedowns Landed,Khabib Nurmagomedov,21,5/25/2013,UFC 160: Velasquez vs Silva 2,3c241737a6069b9f
Takedowns Attempted,Merab Dvalishvili,49,3/11/2023,UFC Fight Night: Yan vs. Dvalishvili,35080a7f406f9ab3
Takedown Accuracy,Georges St-Pierre,100%,3/27/2010,UFC 111: St-Pierre vs Hardy,c80095f6092271a7
Submission Attempts,Cole Miller,10,9/19/2007,UFC Fight Night: Thomas vs Florian,f341f9551ba744e2
