FighterID,Name,Height,Weight,Reach,DOB,SSPM,StrkACC,SSAbsPM,StrkDEF,TDAVG,TDACC,TDDEF,SUBAVG,Wins,Losses,WLDiff,Fire
25b31165758402dd,Adam Antolin,"5'5""",125,63,1982,5.73,0.52,5,0.69,0,0,1,0,3,1,2,1
05fbfe628658c538,Ricardo Arona,"5'11""",205,,1978,1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2,8,4,4,-1
8753e125f4499816,Blas Avena,"6'0""",170,74,1983,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,3,3,0,-1
029afd138865d20a,Rafael Alves,"5'8""",155,68,1990,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,2,3,-1,-1
00debc804e2b1cd4,Dylan Andrews,"6'1""",185,74,1979,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,2,3,-1,-1
16690d100f995f8f,Omari Akhmedov,"6'0""",185,73,1987,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,9,5,4,-1
2620f3eb21c79614,Scott Adams,"6'0""",225,,  --,0,0,0,0,0,0,0,0,1,0,1,1
ae071698e1a3ccd4,Christian Aguilera,"5'9""",170,72,1991,2.54,0.37,4.04,0.48,0,0,0.6,0,1,2,-1,-1
aa6e591c2a2cdecd,Ricardo Abreu,"5'11""",185,,1984,3.79,0.31,3.98,0.68,2.13,0.42,1,0.7,1,1,0,-1
5c10da56d712ac9c,Khusein Askhabov,"5'8""",145,69,1995,2,0.26,4.13,0.56,0,0,0.66,0,0,1,-1,-1
90063913321e7670,Reza Arianto,,155,,  --,0,0,0,0,0,0,0,0,0,0,0,0
1291edf2d566a71a,Julio Arce,"5'7""",135,70,1989,4.38,0.36,3.1,0.68,0.49,0.3,0.95,0.4,6,4,2,-1
6db394bf6c3b017c,Leon Aliu,"6'0""",185,74,1989,6.32,0.5,10.11,0.38,0,0,0,0,0,1,-1,-1
6a1901c62ab3870f,Jessica Andrade,"5'1""",115,62,1991,6.68,0.5,5.34,0.54,2.54,0.54,0.7,0.4,15,10,5,0
fd7acf42bd6e7e95,Bazigit Atajev,"6'1""",230,,  --,0.87,0.41,3.14,0.49,1,0.33,0,0,0,1,-1,-1
da603332ad41f165,Saad Awad,"5'11""",155,,1983,2.13,0.26,1.87,0.6,0.5,0.16,1,0.5,0,1,-1,-1
8738eacd62e82a32,Matt Andersen,"6'2""",230,,1971,0,0,0,0,0,0,0,0,0,1,-1,-1
33a331684283900f,Eddie Alvarez,"5'9""",155,69,1984,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,8,4,4,-1
c487223b0289bda9,Hector Aldana,"5'11""",170,72,1988,3.59,0.38,5.08,0.59,0.93,1,0,0,0,3,-3,-1
7279654c7674cd24,Klidson Abreu,"6'0""",205,74,1992,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0,1,2,-1,0
91e3388e69060e69,Veta Arteaga,"5'7""",125,,  --,3.2,0.36,1.92,0.65,0,0,0.4,0,0,0,0,0
5e4eec08896c9423,Corey Anderson,"6'3""",205,79,1989,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0,10,5,5,-1
93fe7332d16c6ad9,Tom Aaron,,155,,1978,0,0,0,0,0,0,0,0,1,1,0,-1
e17770faae3ca54c,Amir Aliakbari,"6'3""",250,,1984,0,0,0,0,0,0,0,0,0,0,0,0
103e2e33a60683e1,Irina Alekseeva,"5'8""",135,67,1990,8.24,0.4,4.12,0.62,0,0,0,6.9,1,0,1,0
46e2ca71fd5089cb,Reese Andy,"6'0""",205,,1973,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0,0,2,-2,-1
399afbabc02376b5,Tom Aspinall,"6'5""",256,78,1993,7.65,0.66,2.9,0.65,3.7,1,1,1.9,6,1,5,1
67a992d4cff22466,Ericka Almeida,"5'6""",115,,1989,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0,0,2,-2,-1
dc7927cd622676a7,Victor Altamirano,"5'8""",125,70,1991,5,0.57,3.99,0.53,2.12,0.25,0.63,0,3,2,1,-1
e87a13e02c01331d,Ali AlQaisi,"5'6""",135,68,1990,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1,0,2,-2,-1
3329d692aea4dc28,Hamdy Abdelwahab,"6'2""",264,72,1993,3.87,0.52,3.13,0.59,3,0.75,0,0,0,0,0,0
9a7ffa80766caa51,Hashem Arkhagha,"6'2""",185,75,1989,1.84,0.44,8.97,0.43,0,0,0.5,0,0,1,-1,-1
6ebe96a116e79e52,John Allan,"6'1""",205,75,1993,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8,0,3,-3,-1
1fd9f744105024a8,Juan Andres Luna,"5'7""",125,72,1995,3.27,0.31,3,0.65,0,0,0,0,0,1,-1,-1
bc7d1ad49fcb2d08,Jaqueline Amorim,"5'3""",115,68,1995,3.42,0.52,1.81,0.62,1.57,0.23,0,3.7,1,1,0,1
53adf5b845d91e4a,Bertrand Amoussou,"5'8""",190,,  --,6.75,0.39,2.01,0.83,0,0,0,0,1,0,1,1
46d0a888d87d91ac,Abu Azaitar,"5'9""",185,76,1986,5.21,0.44,5.35,0.5,0.5,0.25,0.4,0,1,1,0,0
11583163f45c7b31,Lucas Alexander,"5'11""",145,73,1995,5.05,0.53,1.76,0.72,0,0,0.66,0,1,1,0,1
c6bf75775b278ed8,Mauricio Alonso,"6'2""",170,,1980,5.74,0.34,1.91,0.67,0,0,0,0,0,0,0,0
1e327b281ef6a745,Adlan Amagov,"6'2""",170,76,1986,3.29,0.47,0.82,0.78,5.84,0.56,1,0,5,1,4,2.4
0978385b2bd9ef9b,Nick Aguirre,"5'9""",135,74,1996,0.93,0.31,3.13,0.44,0,0,0.33,1,0,1,-1,0
79ded75550efc139,Shinya Aoki,"5'11""",154,,1983,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4,26,4,22,16.38708019
7c6e87729e824ef4,Ildemar Alcantara,"6'2""",185,78,1982,1.93,0.38,2.63,0.5,2,0.68,0.81,0.9,4,3,1,-1
dd1b90eea08887f6,Israel Albuquerque,,185,,  --,0.32,0.13,3.34,0.25,0,0,0,0,0,1,-1,-1
ebc5af72ad5a28cb,Nick Agallar,"5'8""",155,,1979,0.69,0.11,4.56,0.42,0,0,0,0,0,1,-1,-1
1fc64507a0cb38cf,Rostem Akman,"5'10""",170,72,1991,1.8,0.25,3.97,0.57,1,0.4,0.87,0,0,2,-2,-1
41cc71cbf210e0fe,Hyder Amil,"5'9""",145,70,1990,1.73,0.52,1.47,0.53,0,0,0.78,1,1,0,1,1
a90c200c3fbb22c4,Eli Aronov,"5'10""",185,72,1996,8.92,0.68,6.49,0.38,12.16,1,0,0,0,1,-1,-1
669a3cb6e394f515,Royce Alger,"5'10""",199,,  --,0,0,0,0,0,0,0,0,0,2,-2,-1
430c533614d45813,Patricia Alujas,"5'4""",115,64,1996,5.83,0.31,9.25,0.44,0,0,0,0,0,1,-1,-1
db3c4a884d704efe,Gabriel Arges,,170,,1993,0,0,0,0,0,0,0,0,0,0,0,0
71002dbc1743b9a7,Felipe Arantes,"5'8""",135,73,1988,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,5,6,-1,-1
e76d9f656ceb82ab,Aleksandra Albu,"5'2""",115,63,1990,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,2,2,0,-1
5140122c3eecd307,Daichi Abe,"5'11""",170,71,1991,3.8,0.33,4.49,0.56,0.33,0.5,0,0,1,2,-1,-1
20821819c401ced8,Andre Amado,"6'0""",154,,  --,2.27,0.24,5.91,0.63,0,0,0.2,0,0,3,-3,-1
247fbbfafea60bb1,Maiara Amanajas dos Santos,"5'5""",115,,1987,5.53,0.35,24.47,0.33,0,0,1,0,0,1,-1,-1
30ad2050273d016a,Joey Armstrong,,,,  --,0,0,0,0,0,0,0,0,1,0,1,1
ff222167cce02919,Bruno Assis,"6'2""",185,,1992,1.27,0.43,3.2,0.36,2,0.5,0.66,1,0,1,-1,-1
9199e0735b83dd32,Andy Anderson,"5'6""",240,,1974,0,0,0,0,0,0,0,0,0,1,-1,-1
e70de1859b7ee78e,Sultan Aliev,"5'11""",170,74,1984,1.41,0.45,2.2,0.56,1.76,0.38,1,0,2,2,0,1
